houseid,description,price,bedrooms,bathrooms,floor_area,land_area,latitude,longitude,city,province
160,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical End Unit (Garden Unit)",28376000.0,3.0,3.0,219.3,106.0,14.4321626,121.0452418,,
161,"For Sale 3BR House and Lot in Urdaneta, Pangasinan at Camella Urdaneta | Cara 110sqm",6286000.0,3.0,2.0,66.0,110.0,16.0015834,120.5760561,Macarthur Hwy Anonas,Urdaneta
162,"L-R-1-249- Acquired Property for Sale in Lot 8, Block 12, 7th Road, Sta. Monica Heights Subdivision, Phase 1, Brgy. San Rafael, Tarlac City, Tarlac - Retail",4216700.0,,,169.0,180.0,15.3219543,120.5961487,San Rafael,Tarlac
163,"3BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Cara 146sqm",6810000.0,3.0,2.0,66.0,146.0,14.9131781,120.2282421,Aningway Sacatihan,Subic
164,"4-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | BRIANA Model",6756360.0,4.0,3.0,110.0,100.0,14.4084522,120.8964956,Alapan Ii-A,Imus
165,"1BR House and Lot for Sale in Mexico, Pampanga | Flavorscapes at The Lakeshore, Duo Work Live",1635170.0,1.0,1.0,78.7,,14.4321626,121.0452418,Divisoria,Mexico
166,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit",33792000.0,3.0,3.0,247.4,93.0,14.4321626,121.0452418,Km. 19 West Service Rd. Cupang,Muntinlupa
167,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",26393000.0,3.0,3.0,219.3,91.0,14.4321626,121.0452418,Km. 19 West Service Rd. Cupang,Muntinlupa
168,"RFO House and Lot For Sale in Summerfield, Antipolo City, Rizal",5700000.0,4.0,3.0,90.0,78.0,14.5853745,121.1822801,San Jose,Antipolo
169,"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse",32539000.0,3.0,3.0,247.4,93.0,14.4321626,121.0452418,Km. 19 West Service Rd. Cupang,Muntinlupa
170,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit (Garden Unit)",28348000.0,3.0,3.0,219.3,105.0,14.4321626,121.0452418,Km. 19 West Service Rd. Cupang,Muntinlupa
171,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",28776000.0,3.0,3.0,219.3,90.0,14.4321626,121.0452418,Km. 19 West Service Rd. Cupang,Muntinlupa
172,2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Frielle 88sqm,4872000.0,2.0,1.0,50.0,88.0,15.4777848,120.6140745,Camella Tarlac Access Rd. Maliwalo,Tarlac
173,3BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Cara w/ CB 99sqm,6319000.0,3.0,2.0,66.0,99.0,15.4777848,120.6140745,Camella Tarlac Access Rd. Maliwalo,Tarlac
174,RFO 2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Marga 72sqm,4315000.0,2.0,1.0,46.0,72.0,15.4777848,120.6140745,Camella Tarlac Access Rd. Maliwalo,Tarlac
175,"3BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Cara w/ CB 150sqm",7907000.0,3.0,2.0,66.0,150.0,14.9131781,120.2282421,Aningway Sacatihan,Subic
176,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Ella w/ CB 121sqm",7421000.0,5.0,3.0,100.0,121.0,14.9131781,120.2282421,Aningway Sacatihan,Subic
177,"4BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Dani 99sqm",6087000.0,4.0,3.0,83.0,99.0,14.9131781,120.2282421,Aningway Sacatihan,Subic
178,"4BR 3-Storey Townhouse for Sale in Dasmariñas, Cavite | The Villas at Dasmariñas Highlands",9500000.0,4.0,4.0,132.0,66.0,14.3152974,120.9450966,Aguinaldo Highway San Agustin I,Dasmarinas
179,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Corner Unit Facing Clubhouse (Garden Unit)",28572000.0,3.0,3.0,219.3,103.0,14.4321626,121.0452418,Km. 19 West Service Rd. Cupang,Muntinlupa
180,For Sale 3BR 2-Storey House and Lot in Tarlac City at Camella Tarlac | Cara 88sqm,5776000.0,3.0,2.0,66.0,88.0,15.4777848,120.6140745,Camella Tarlac Access Rd. Maliwalo,Tarlac
181,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",26365000.0,3.0,3.0,219.3,90.0,14.4321626,121.0452418,Km. 19 West Service Rd. Cupang,Muntinlupa
182,"3BR House and Lot for Sale in Mexico, Pampanga | Flavorscapes at The Lakeshore, Cocoon",3190000.0,3.0,2.0,60.0,80.0,14.4321626,121.0452418,Divisoria,Mexico
183,"3BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Cara w/ CB 162sqm",8277000.0,3.0,2.0,66.0,162.0,14.9131781,120.2282421,Aningway Sacatihan,Subic
184,for sale alli house and lot 2 bedroom at  camella butuan city,4480180.0,2.0,1.0,40.0,88.0,8.955797,125.5900574,Camella Prima Butuan,Barangay Ampayon
185,"2BR 2-Storey House and Lot for Sale in Mabalacat, Pampanga at Talanai Homes | APITONG",2224500.0,2.0,1.0,50.0,65.0,15.1987752,120.6026101,Sapang Biabas,Mabalacat
186,Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntinlupa | Typical Unit,31348000.0,3.0,3.0,247.4,92.0,14.4378843,121.0503212,Cupang,Muntinlupa
